epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1452,1.39547,2.80371,1.49751,0.41522,0.41981,0.36088,0.15833,1.87616,2.04531,1.85341,0.00023654,0.00023654,0.00023654
2,115.711,1.29754,1.87757,1.44903,0.56778,0.44077,0.46455,0.20261,1.84466,1.77835,1.77524,0.000469842,0.000469842,0.000469842
3,170.614,1.27569,1.69494,1.41599,0.55777,0.46099,0.46625,0.22194,1.8746,1.86576,1.85747,0.000698432,0.000698432,0.000698432
4,225.236,1.23515,1.60332,1.39276,0.63208,0.43951,0.46748,0.20136,1.9223,2.16137,1.84722,0.000692794,0.000692794,0.000692794
5,278.351,1.21061,1.51634,1.36762,0.65723,0.53575,0.56626,0.25834,1.8604,1.59084,1.80095,0.000685726,0.000685726,0.000685726
6,337.654,1.19704,1.4576,1.35441,0.70046,0.43253,0.52475,0.22572,1.91425,1.62669,1.88278,0.000678657,0.000678657,0.000678657
7,391.54,1.17368,1.41205,1.33718,0.67097,0.52406,0.57277,0.26159,1.82197,1.51765,1.82641,0.000671588,0.000671588,0.000671588
8,447.015,1.16594,1.36882,1.3285,0.67581,0.54105,0.58454,0.26804,1.85792,1.53357,1.77105,0.00066452,0.00066452,0.00066452
9,503.938,1.13907,1.31901,1.30933,0.7185,0.58172,0.62291,0.30471,1.71327,1.4156,1.70066,0.000657451,0.000657451,0.000657451
10,559.999,1.14007,1.28924,1.30593,0.70752,0.55682,0.60813,0.27553,1.82937,1.44241,1.74073,0.000650383,0.000650383,0.000650383
11,614.277,1.12293,1.25676,1.29843,0.78997,0.58061,0.64528,0.30542,1.77222,1.29534,1.70765,0.000643314,0.000643314,0.000643314
12,666.508,1.11584,1.22307,1.28826,0.76493,0.59807,0.65211,0.32738,1.6609,1.25195,1.63186,0.000636245,0.000636245,0.000636245
13,723.337,1.10551,1.20041,1.28143,0.72662,0.58191,0.64284,0.33718,1.67319,1.33263,1.67851,0.000629177,0.000629177,0.000629177
14,776.947,1.09988,1.18256,1.27482,0.78849,0.58654,0.6494,0.30237,1.76514,1.24805,1.69042,0.000622108,0.000622108,0.000622108
15,830.086,1.09051,1.16782,1.268,0.8455,0.57785,0.65757,0.33211,1.6995,1.27679,1.6814,0.00061504,0.00061504,0.00061504
16,884.004,1.07082,1.13661,1.25783,0.78204,0.62577,0.67002,0.36018,1.57094,1.17751,1.58061,0.000607971,0.000607971,0.000607971
17,941.586,1.06229,1.11595,1.25197,0.8006,0.60746,0.66724,0.34589,1.6269,1.17853,1.60495,0.000600902,0.000600902,0.000600902
18,994.505,1.05931,1.10569,1.24542,0.81057,0.55902,0.65012,0.33756,1.60094,1.22405,1.60319,0.000593834,0.000593834,0.000593834
19,1047.91,1.04771,1.0829,1.23944,0.84792,0.57599,0.66754,0.33383,1.6497,1.23248,1.63093,0.000586765,0.000586765,0.000586765
20,1104.37,1.05507,1.07841,1.23865,0.86305,0.62645,0.70182,0.37368,1.57492,1.11837,1.5553,0.000579697,0.000579697,0.000579697
21,1158.38,1.03978,1.05725,1.235,0.79189,0.62512,0.68029,0.36717,1.57809,1.17348,1.56449,0.000572628,0.000572628,0.000572628
22,1212.3,1.02851,1.03821,1.2226,0.83289,0.62168,0.70084,0.37699,1.57601,1.08113,1.55568,0.000565559,0.000565559,0.000565559
23,1265.99,1.01881,1.01865,1.21661,0.76262,0.63503,0.68547,0.37128,1.54248,1.08572,1.52419,0.000558491,0.000558491,0.000558491
24,1322.99,1.02165,1.0193,1.21546,0.81307,0.62265,0.69633,0.36683,1.62168,1.08482,1.59666,0.000551422,0.000551422,0.000551422
25,1377.14,1.00609,0.99811,1.21688,0.82515,0.6218,0.69318,0.36202,1.59034,1.09897,1.57089,0.000544354,0.000544354,0.000544354
26,1431.38,1.01077,0.99485,1.20928,0.83132,0.63525,0.7136,0.40486,1.47903,1.06949,1.51456,0.000537285,0.000537285,0.000537285
27,1487.34,1.00448,0.97974,1.20478,0.83136,0.6538,0.71794,0.37993,1.65674,1.06343,1.6101,0.000530216,0.000530216,0.000530216
28,1543.33,0.98664,0.95393,1.1973,0.87143,0.60448,0.71564,0.39146,1.53765,1.02993,1.52737,0.000523148,0.000523148,0.000523148
29,1597.15,1.00416,0.96047,1.20059,0.82421,0.6465,0.70969,0.39306,1.49054,1.01756,1.50487,0.000516079,0.000516079,0.000516079
30,1651.4,0.98914,0.9489,1.19447,0.84371,0.65942,0.73949,0.40457,1.49769,0.99821,1.52524,0.000509011,0.000509011,0.000509011
31,1707.37,0.98652,0.92608,1.18978,0.8541,0.63031,0.71852,0.40427,1.50816,0.98892,1.52588,0.000501942,0.000501942,0.000501942
32,1761.19,0.97892,0.92523,1.18637,0.81768,0.66871,0.71642,0.40608,1.4971,0.99227,1.49133,0.000494873,0.000494873,0.000494873
33,1815.95,0.97395,0.92735,1.18699,0.85395,0.65207,0.72591,0.39308,1.59464,0.99688,1.59435,0.000487805,0.000487805,0.000487805
34,1870.21,0.9611,0.90539,1.17675,0.84579,0.65009,0.73782,0.41717,1.47123,0.97039,1.52623,0.000480736,0.000480736,0.000480736
35,1928.62,0.96624,0.90142,1.17672,0.85226,0.66707,0.74289,0.41287,1.50062,0.96644,1.50197,0.000473668,0.000473668,0.000473668
36,1982.39,0.95934,0.89733,1.1774,0.85997,0.64847,0.74314,0.39839,1.5712,0.98649,1.57844,0.000466599,0.000466599,0.000466599
37,2035.42,0.96768,0.89613,1.17915,0.83885,0.67507,0.74031,0.40388,1.58894,0.9698,1.563,0.00045953,0.00045953,0.00045953
38,2092.15,0.95367,0.88859,1.17238,0.86123,0.6807,0.7553,0.41671,1.50567,0.946,1.50012,0.000452462,0.000452462,0.000452462
39,2145.44,0.95479,0.88428,1.17107,0.88343,0.67528,0.75651,0.42664,1.47952,0.91028,1.47909,0.000445393,0.000445393,0.000445393
40,2200.35,0.93785,0.85865,1.15892,0.79644,0.70308,0.74093,0.42286,1.48179,0.96419,1.50842,0.000438325,0.000438325,0.000438325
41,2254.58,0.956,0.86949,1.16193,0.84796,0.67003,0.74949,0.44589,1.42231,0.90318,1.46169,0.000431256,0.000431256,0.000431256
42,2312.76,0.93705,0.85767,1.16007,0.85032,0.66135,0.74671,0.41791,1.50035,0.93073,1.50205,0.000424187,0.000424187,0.000424187
43,2366.39,0.93129,0.85487,1.1544,0.90053,0.66642,0.75988,0.42153,1.52899,0.91352,1.5302,0.000417119,0.000417119,0.000417119
44,2419.94,0.92663,0.85232,1.1564,0.87787,0.66819,0.75309,0.44001,1.44677,0.90357,1.48644,0.00041005,0.00041005,0.00041005
45,2476.81,0.92655,0.83872,1.15351,0.83452,0.68768,0.75551,0.41141,1.58663,0.92431,1.5778,0.000402982,0.000402982,0.000402982
46,2529.95,0.93196,0.84445,1.15359,0.89981,0.68701,0.77475,0.44483,1.41651,0.86894,1.46842,0.000395913,0.000395913,0.000395913
47,2584.34,0.9144,0.8204,1.1429,0.88031,0.67867,0.75763,0.43785,1.45549,0.88245,1.47636,0.000388844,0.000388844,0.000388844
48,2638.81,0.91572,0.82138,1.14308,0.88341,0.67513,0.76344,0.42766,1.48298,0.89016,1.50771,0.000381776,0.000381776,0.000381776
49,2695.76,0.91076,0.80897,1.13757,0.92975,0.67484,0.76656,0.44185,1.47206,0.88275,1.48429,0.000374707,0.000374707,0.000374707
50,2750.46,0.91244,0.81427,1.13748,0.89167,0.67429,0.77117,0.41835,1.54203,0.89909,1.55739,0.000367639,0.000367639,0.000367639
